rat_id,study_day,condition,treatment,trial_num,state,num_bouts,total_duration
6,2,OD,4,5.3,tonic,7,229.988
4,16,OR,0,4,phasic,1,3.13
4,16,OR,0,4,tonic,3,81.87
6,2,OR,2,3,phasic,3,5.644
6,2,OR,2,3,tonic,5,246.356
4,6,OR,3,5.3,phasic,5,8.832
4,6,OR,3,5.3,tonic,12,250.168
1,2,OR,4,1,phasic,3,4.216
1,2,OR,4,1,tonic,5,121.784
3,3,OR,0,5.2,phasic,13,19.418
3,3,OR,0,5.2,tonic,18,399.582
8,1,HC,3,2,phasic,6,11.068
8,1,HC,3,2,tonic,9,297.932
7,1,HC,3,1,phasic,1,1.092
7,1,HC,3,1,tonic,2,56.908
3,1,OR,1,5.1,phasic,6,13.446
3,1,OR,1,5.1,tonic,9,246.554
5,4,HC,0,5.3,phasic,4,10.964
5,4,HC,0,5.3,tonic,9,217.036
3,1,OR,4,5.4,phasic,5,8.82
3,1,OR,4,5.4,tonic,9,226.18
9,6,OD,2,5.3,phasic,1,0.908
9,6,OD,2,5.3,tonic,3,48.092
11,3,HC,4,5.2,phasic,4,8.45
11,3,HC,4,5.2,tonic,7,264.55
4,17,HC,0,5.2,phasic,1,5.066
4,17,HC,0,5.2,tonic,2,119.934
13,11,OR-N,4,2,phasic,2,5.89
13,11,OR-N,4,2,tonic,5,182.11
3,5,CON,3,5.3,phasic,1,1.538
3,5,CON,3,5.3,tonic,3,104.462
9,4,OD,4,5.1,phasic,14,24.828
9,4,OD,4,5.1,tonic,20,455.172
4,8,HC,1,5.2,phasic,5,11.526
4,8,HC,1,5.2,tonic,7,234.474
6,7,OR-N,4,5.4,phasic,2,4.82
6,7,OR-N,4,5.4,tonic,4,385.182
4,4,HC,3,3,phasic,8,13.37
4,4,HC,3,3,tonic,17,311.63
4,16,OR,0,5.3,phasic,5,9.844
4,16,OR,0,5.3,tonic,10,221.156
5,3,OD,0,4,phasic,6,8.752
5,3,OD,0,4,tonic,9,188.248
3,8,HC,0,5.2,phasic,3,7.672
3,8,HC,0,5.2,tonic,5,192.328
5,6,HC,1,4,phasic,4,8.026
5,6,HC,1,4,tonic,6,240.974
8,4,CON,3,4,phasic,10,14.172
8,4,CON,3,4,tonic,16,379.828
11,4,OR,4,5.4,phasic,1,1.898
11,4,OR,4,5.4,tonic,3,120.102
7,2,OR,3,5.1,phasic,6,8.092
7,2,OR,3,5.1,tonic,9,165.908
1,3,OR,2,2,phasic,1,1.78
1,3,OR,2,2,tonic,5,86.22
7,3,CON,3,2,phasic,2,3.962
7,3,CON,3,2,tonic,3,88.038
1,4,CON,4,5.3,phasic,6,13.024
1,4,CON,4,5.3,tonic,9,332.976
8,4,CON,3,2,phasic,9,13.78
8,4,CON,3,2,tonic,12,366.22
5,4,HC,0,3,phasic,7,14.144
5,4,HC,0,3,tonic,10,335.856
5,1,OR,1,4,phasic,6,11.718
5,1,OR,1,4,tonic,9,232.284
7,5,OD,3,5.3,phasic,3,7.156
7,5,OD,3,5.3,tonic,5,132.844
6,2,OR,2,5.3,phasic,22,46.076
6,2,OR,2,5.3,tonic,28,824.924
13,4,OD,4,5.2,phasic,10,20.648
13,4,OD,4,5.2,tonic,15,463.352
2,3,CON,2,5.1,phasic,2,5.692
2,3,CON,2,5.1,tonic,5,162.308
4,4,OD,1,5.1,phasic,3,5.016
4,4,OD,1,5.1,tonic,4,114.984
8,6,OD,3,5.1,phasic,4,8.632
8,6,OD,3,5.1,tonic,6,172.368
1,4,HC,2,1,phasic,6,8.14
1,4,HC,2,1,tonic,9,214.862
4,3,OR,4,5.2,phasic,6,15.704
4,3,OR,4,5.2,tonic,15,373.296
3,6,OD,1,5.1,phasic,4,5.644
3,6,OD,1,5.1,tonic,6,312.356
1,2,OR,4,4,phasic,10,21.782
1,2,OR,4,4,tonic,16,418.218
6,2,OD,4,3,phasic,14,23.06
6,2,OD,4,3,tonic,18,417.94
1,2,OD,2,3,phasic,3,4.72
1,2,OD,2,3,tonic,7,119.28
4,1,CON,4,2,phasic,6,10.852
4,1,CON,4,2,tonic,9,313.148
6,1,HC,2,4,phasic,13,32.134
6,1,HC,2,4,tonic,18,618.866
9,6,OD,2,3,phasic,8,12.814
9,6,OD,2,3,tonic,12,263.186
3,3,OR,0,4,phasic,5,6.364
3,3,OR,0,4,tonic,7,130.636
4,17,HC,0,3,phasic,2,4.034
4,17,HC,0,3,tonic,3,89.966
6,2,OR,2,4,phasic,2,6.414
6,2,OR,2,4,tonic,4,290.586
5,14,OR,0,4,phasic,6,9.508
5,14,OR,0,4,tonic,8,239.494
4,5,OD,3,5.3,phasic,8,11.91
4,5,OD,3,5.3,tonic,18,320.09
9,4,OD,4,3,phasic,10,22.014
9,4,OD,4,3,tonic,18,520.986
7,5,OD,3,3,phasic,5,12.192
7,5,OD,3,3,tonic,8,228.808
8,6,OD,3,5.2,phasic,3,4.716
8,6,OD,3,5.2,tonic,4,108.284
11,2,OD,4,4,phasic,5,12.268
11,2,OD,4,4,tonic,9,311.732
3,6,OD,1,1,phasic,4,6.56
3,6,OD,1,1,tonic,6,229.44
6,3,HC,4,5.4,phasic,1,1.254
6,3,HC,4,5.4,tonic,2,41.746
11,4,OR,4,3,phasic,11,19.174
11,4,OR,4,3,tonic,16,440.826
5,8,HC,0,4,phasic,6,10.616
5,8,HC,0,4,tonic,11,305.384
1,1,CON,2,5.1,phasic,2,2.094
1,1,CON,2,5.1,tonic,6,155.906
9,4,CON,2,4,phasic,7,12.614
9,4,CON,2,4,tonic,12,314.386
4,5,OD,3,5.1,phasic,4,7.882
4,5,OD,3,5.1,tonic,11,243.118
6,5,OR,4,1,phasic,1,2.624
6,5,OR,4,1,tonic,2,40.376
9,4,CON,2,2,phasic,8,12.14
9,4,CON,2,2,tonic,11,238.86
6,4,CON,4,5.2,phasic,11,26.884
6,4,CON,4,5.2,tonic,13,507.116
9,1,HC,2,1,phasic,5,12.212
9,1,HC,2,1,tonic,7,208.788
3,4,OD,0,5.3,phasic,5,10.368
3,4,OD,0,5.3,tonic,9,294.632
13,1,CON,4,2,phasic,3,5.352
13,1,CON,4,2,tonic,5,189.648
3,4,OD,4,5.4,phasic,2,4.618
3,4,OD,4,5.4,tonic,5,159.382
4,4,OD,1,3,phasic,0,0.0
4,4,OD,1,3,tonic,1,15.0
4,6,OD,4,5.1,phasic,3,5.464
4,6,OD,4,5.1,tonic,4,114.536
5,2,OR,0,5.1,phasic,4,6.484
5,2,OR,0,5.1,tonic,6,193.516
4,4,OR-N,4,5.2,phasic,4,7.478
4,4,OR-N,4,5.2,tonic,5,121.522
6,2,OD,4,5.1,phasic,7,15.194
6,2,OD,4,5.1,tonic,11,251.806
1,2,OR,4,3,phasic,4,7.224
1,2,OR,4,3,tonic,7,169.776
13,1,CON,4,3,phasic,0,0.0
13,1,CON,4,3,tonic,1,6.0
4,6,OR,3,1,phasic,5,10.806
4,6,OR,3,1,tonic,10,257.194
3,4,OD,0,3,phasic,2,5.342
3,4,OD,0,3,tonic,4,129.658
6,1,HC,2,5.3,phasic,7,19.108
6,1,HC,2,5.3,tonic,12,481.892
6,5,OR,4,5.1,phasic,3,6.108
6,5,OR,4,5.1,tonic,5,105.892
1,4,HC,2,3,phasic,6,9.898
1,4,HC,2,3,tonic,10,262.102
1,1,OD,4,5.1,phasic,9,13.2
1,1,OD,4,5.1,tonic,12,374.8
3,6,HC,4,4,phasic,5,11.62
3,6,HC,4,4,tonic,9,237.38
3,14,HC,3,5.3,phasic,3,4.94
3,14,HC,3,5.3,tonic,5,127.06
11,3,HC,4,1,phasic,0,0.0
11,3,HC,4,1,tonic,1,16.0
2,1,OD,2,2,phasic,2,2.298
2,1,OD,2,2,tonic,4,94.702
2,2,OR,2,5.3,phasic,1,1.788
2,2,OR,2,5.3,tonic,4,80.212
4,3,CON,3,4,phasic,8,14.308
4,3,CON,3,4,tonic,15,260.692
3,4,OD,4,5.2,phasic,11,25.976
3,4,OD,4,5.2,tonic,17,574.024
2,2,OR,2,5.1,phasic,5,8.984
2,2,OR,2,5.1,tonic,8,221.018
3,2,HC,0,4,phasic,3,8.516
3,2,HC,0,4,tonic,5,152.484
2,3,CON,2,3,phasic,5,11.946
2,3,CON,2,3,tonic,13,279.054
4,1,CON,4,5.1,phasic,6,9.982
4,1,CON,4,5.1,tonic,8,185.018
11,1,CON,4,5.3,phasic,10,18.71
11,1,CON,4,5.3,tonic,18,311.29
1,3,HC,4,3,phasic,4,8.066
1,3,HC,4,3,tonic,8,145.934
6,7,OR-N,4,5.3,phasic,5,12.28
6,7,OR-N,4,5.3,tonic,7,207.72
4,9,HC,0,5.4,phasic,2,4.582
4,9,HC,0,5.4,tonic,5,163.418
3,3,OR,0,5.3,phasic,6,11.002
3,3,OR,0,5.3,tonic,11,381.998
13,2,HC,4,5.4,phasic,4,6.108
13,2,HC,4,5.4,tonic,6,140.894
4,4,HC,3,5.2,phasic,2,4.458
4,4,HC,3,5.2,tonic,9,235.542
8,1,HC,3,5.4,phasic,1,1.068
8,1,HC,3,5.4,tonic,3,148.932
4,2,HC,4,5.4,phasic,6,12.64
4,2,HC,4,5.4,tonic,9,263.36
9,16,OR-N,4,5.4,phasic,7,11.618
9,16,OR-N,4,5.4,tonic,11,257.382
3,17,HC,0,4,phasic,3,8.046
3,17,HC,0,4,tonic,5,176.954
11,3,HC,4,4,phasic,5,6.07
11,3,HC,4,4,tonic,9,240.93
3,2,HC,0,5.3,phasic,3,4.246
3,2,HC,0,5.3,tonic,5,188.754
4,3,OR,1,5.4,phasic,2,3.176
4,3,OR,1,5.4,tonic,3,102.824
5,14,OR,0,2,phasic,3,5.522
5,14,OR,0,2,tonic,4,93.478
5,17,HC,1,5.4,phasic,3,6.954
5,17,HC,1,5.4,tonic,5,172.046
3,14,HC,3,5.4,phasic,3,7.77
3,14,HC,3,5.4,tonic,5,137.23
4,1,CON,4,5.3,phasic,3,9.144
4,1,CON,4,5.3,tonic,6,221.856
9,16,OR-N,4,5.1,phasic,4,7.85
9,16,OR-N,4,5.1,tonic,7,166.15
3,6,HC,4,1,phasic,2,1.906
3,6,HC,4,1,tonic,3,55.094
13,1,CON,4,5.3,phasic,3,5.754
13,1,CON,4,5.3,tonic,4,97.246
8,6,OD,3,5.4,phasic,2,4.598
8,6,OD,3,5.4,tonic,5,185.402
3,16,OR,1,3,phasic,0,0.0
3,16,OR,1,3,tonic,2,166.0
1,2,OD,2,5.3,phasic,0,0.0
1,2,OD,2,5.3,tonic,1,46.0
11,1,CON,4,5.2,phasic,3,4.236
11,1,CON,4,5.2,tonic,5,92.764
6,2,OD,4,5.2,phasic,12,25.568
6,2,OD,4,5.2,tonic,18,488.432
3,8,HC,0,4,phasic,8,16.41
3,8,HC,0,4,tonic,11,343.59
4,5,OD,3,5.4,phasic,0,0.0
4,5,OD,3,5.4,tonic,5,139.0
5,16,OR,1,5.4,phasic,10,12.748
5,16,OR,1,5.4,tonic,13,217.252
3,3,OR,0,5.1,phasic,4,5.046
3,3,OR,0,5.1,tonic,6,103.954
6,4,CON,4,4,phasic,11,26.02
6,4,CON,4,4,tonic,16,500.98
5,5,OD,1,4,phasic,5,7.326
5,5,OD,1,4,tonic,7,163.674
13,3,OR,4,5.2,phasic,6,13.484
13,3,OR,4,5.2,tonic,10,283.516
9,6,OD,2,2,phasic,0,0.0
9,6,OD,2,2,tonic,3,47.0
13,2,HC,4,5.2,phasic,0,0.0
13,2,HC,4,5.2,tonic,1,64.0
1,2,OD,2,2,phasic,1,1.992
1,2,OD,2,2,tonic,3,127.008
3,3,OR,3,2,phasic,3,6.232
3,3,OR,3,2,tonic,5,159.768
9,3,HC,4,3,phasic,9,15.728
9,3,HC,4,3,tonic,14,440.272
3,2,CON,4,5.1,phasic,6,15.748
3,2,CON,4,5.1,tonic,9,279.252
4,5,HC,0,5.2,phasic,6,11.932
4,5,HC,0,5.2,tonic,8,229.068
3,9,HC,1,5.3,phasic,1,1.054
3,9,HC,1,5.3,tonic,3,68.946
9,2,CON,4,2,phasic,7,16.334
9,2,CON,4,2,tonic,13,288.668
13,3,OR,4,5.1,phasic,2,3.62
13,3,OR,4,5.1,tonic,4,152.38
6,1,HC,2,2,phasic,6,11.518
6,1,HC,2,2,tonic,9,216.482
8,2,OR,3,5.1,phasic,7,13.058
8,2,OR,3,5.1,tonic,9,220.942
6,1,HC,2,5.2,phasic,5,8.36
6,1,HC,2,5.2,tonic,9,124.64
1,3,OR,2,5.1,phasic,0,0.0
1,3,OR,2,5.1,tonic,1,17.0
3,3,OR,3,5.2,phasic,5,14.464
3,3,OR,3,5.2,tonic,7,222.536
3,7,HC,1,4,phasic,7,12.352
3,7,HC,1,4,tonic,11,270.648
7,1,HC,3,5.2,phasic,5,11.854
7,1,HC,3,5.2,tonic,8,184.146
5,7,HC,1,5.3,phasic,2,2.562
5,7,HC,1,5.3,tonic,5,173.438
9,6,OD,2,5.4,phasic,4,6.976
9,6,OD,2,5.4,tonic,8,148.024
3,2,CON,4,5.4,phasic,6,9.002
3,2,CON,4,5.4,tonic,9,197.998
1,4,CON,4,5.4,phasic,9,13.082
1,4,CON,4,5.4,tonic,14,309.918
4,1,OR,0,5.1,phasic,8,13.928
4,1,OR,0,5.1,tonic,11,264.072
7,2,OR,3,3,phasic,2,6.888
7,2,OR,3,3,tonic,3,105.112
13,4,OD,4,5.3,phasic,5,10.108
13,4,OD,4,5.3,tonic,9,180.892
6,3,HC,4,3,phasic,7,12.954
6,3,HC,4,3,tonic,11,230.046
9,3,OR,2,1,phasic,1,1.348
9,3,OR,2,1,tonic,2,94.652
4,3,OR,1,5.2,phasic,6,9.806
4,3,OR,1,5.2,tonic,10,258.194
13,4,OD,4,5.1,phasic,2,5.864
13,4,OD,4,5.1,tonic,4,216.136
7,1,HC,3,3,phasic,7,12.76
7,1,HC,3,3,tonic,10,314.24
5,14,OR,0,3,phasic,4,5.216
5,14,OR,0,3,tonic,6,194.784
13,1,CON,4,5.4,phasic,4,8.928
13,1,CON,4,5.4,tonic,6,197.072
2,3,CON,2,5.4,phasic,0,0.0
2,3,CON,2,5.4,tonic,2,30.0
4,5,OD,3,1,phasic,9,18.058
4,5,OD,3,1,tonic,13,361.942
4,6,OD,0,2,phasic,2,5.038
4,6,OD,0,2,tonic,3,107.962
4,7,HC,1,5.4,phasic,2,3.536
4,7,HC,1,5.4,tonic,4,105.464
9,6,OD,2,4,phasic,5,6.5
9,6,OD,2,4,tonic,8,231.5
2,4,HC,2,2,phasic,9,13.878
2,4,HC,2,2,tonic,16,314.122
4,3,CON,3,1,phasic,1,4.924
4,3,CON,3,1,tonic,4,103.076
1,3,HC,4,5.1,phasic,3,6.88
1,3,HC,4,5.1,tonic,4,127.12
4,6,OD,4,5.3,phasic,5,11.39
4,6,OD,4,5.3,tonic,7,209.61
5,2,OR,0,1,phasic,1,3.834
5,2,OR,0,1,tonic,2,85.166
1,4,CON,4,5.2,phasic,4,8.764
1,4,CON,4,5.2,tonic,8,183.236
2,2,OR,2,2,phasic,1,1.042
2,2,OR,2,2,tonic,5,90.958
4,6,OD,0,5.1,phasic,8,13.478
4,6,OD,0,5.1,tonic,11,333.522
5,7,HC,1,4,phasic,5,5.608
5,7,HC,1,4,tonic,8,263.392
3,6,HC,4,2,phasic,3,5.518
3,6,HC,4,2,tonic,7,131.482
9,10,OR,4,2,phasic,8,12.654
9,10,OR,4,2,tonic,14,302.346
6,10,OD,4,4,phasic,8,13.344
6,10,OD,4,4,tonic,11,250.656
6,2,OR,2,5.4,phasic,6,10.47
6,2,OR,2,5.4,tonic,11,286.53
3,9,HC,1,5.4,phasic,2,2.156
3,9,HC,1,5.4,tonic,3,53.844
3,6,OD,1,3,phasic,2,5.17
3,6,OD,1,3,tonic,4,169.83
3,5,OR-N,4,5.2,phasic,10,19.76
3,5,OR-N,4,5.2,tonic,13,343.24
5,4,HC,0,2,phasic,4,7.524
5,4,HC,0,2,tonic,7,175.476
5,16,OR,1,5.1,phasic,8,13.038
5,16,OR,1,5.1,tonic,10,238.962
5,7,HC,1,5.1,phasic,5,15.888
5,7,HC,1,5.1,tonic,8,310.112
3,5,HC,0,5.1,phasic,4,3.61
3,5,HC,0,5.1,tonic,5,154.392
4,6,OD,4,4,phasic,10,20.562
4,6,OD,4,4,tonic,13,460.438
3,7,HC,1,5.4,phasic,11,19.006
3,7,HC,1,5.4,tonic,15,316.994
11,2,OD,4,5.4,phasic,7,13.712
11,2,OD,4,5.4,tonic,16,422.288
2,4,HC,2,4,phasic,3,14.56
2,4,HC,2,4,tonic,9,308.44
4,6,OR,3,5.2,phasic,3,7.344
4,6,OR,3,5.2,tonic,8,245.656
6,2,OD,4,2,phasic,4,7.618
6,2,OD,4,2,tonic,7,188.382
1,4,CON,4,2,phasic,2,3.556
1,4,CON,4,2,tonic,3,59.444
4,3,OR,1,5.3,phasic,5,9.99
4,3,OR,1,5.3,tonic,6,166.01
5,5,OD,1,5.1,phasic,3,7.36
5,5,OD,1,5.1,tonic,8,347.64
6,5,OR,4,5.3,phasic,15,32.574
6,5,OR,4,5.3,tonic,20,656.426
9,3,HC,4,5.3,phasic,7,11.902
9,3,HC,4,5.3,tonic,12,329.1
1,2,OR,4,5.2,phasic,11,22.4
1,2,OR,4,5.2,tonic,17,425.6
13,3,OR,4,4,phasic,12,22.484
13,3,OR,4,4,tonic,15,347.516
4,5,HC,0,4,phasic,3,3.96
4,5,HC,0,4,tonic,4,105.04
4,6,OD,0,5.4,phasic,3,4.88
4,6,OD,0,5.4,tonic,5,130.12
8,1,HC,3,5.2,phasic,3,5.322
8,1,HC,3,5.2,tonic,7,175.678
4,1,OR,0,5.2,phasic,2,4.396
4,1,OR,0,5.2,tonic,4,136.604
4,7,HC,1,5.2,phasic,9,23.652
4,7,HC,1,5.2,tonic,13,413.348
1,4,CON,4,5.1,phasic,6,10.838
1,4,CON,4,5.1,tonic,10,380.162
1,5,OR-N,4,4,phasic,3,3.88
1,5,OR-N,4,4,tonic,4,56.12
7,2,OR,3,5.2,phasic,12,22.522
7,2,OR,3,5.2,tonic,16,420.478
4,16,OR,0,5.1,phasic,7,14.906
4,16,OR,0,5.1,tonic,10,218.094
11,1,CON,4,2,phasic,5,7.138
11,1,CON,4,2,tonic,7,194.862
6,5,OR,4,5.2,phasic,9,20.52
6,5,OR,4,5.2,tonic,18,560.48
3,3,HC,4,5.2,phasic,7,12.81
3,3,HC,4,5.2,tonic,10,315.19
9,4,CON,2,5.3,phasic,10,21.54
9,4,CON,2,5.3,tonic,14,405.46
5,7,HC,1,2,phasic,6,13.714
5,7,HC,1,2,tonic,9,294.286
9,1,HC,2,5.4,phasic,3,3.834
9,1,HC,2,5.4,tonic,6,137.166
6,3,HC,4,5.1,phasic,4,6.524
6,3,HC,4,5.1,tonic,5,134.476
6,4,CON,4,5.1,phasic,12,25.628
6,4,CON,4,5.1,tonic,14,464.372
6,4,OD,2,3,phasic,2,3.932
6,4,OD,2,3,tonic,4,98.068
5,1,OR,1,3,phasic,3,4.02
5,1,OR,1,3,tonic,5,63.98
11,4,OR,4,5.2,phasic,12,25.208
11,4,OR,4,5.2,tonic,20,709.792
9,6,OD,2,5.1,phasic,2,5.38
9,6,OD,2,5.1,tonic,5,145.62
9,16,OR-N,4,5.2,phasic,11,20.656
9,16,OR-N,4,5.2,tonic,16,458.344
3,9,HC,1,4,phasic,4,7.468
3,9,HC,1,4,tonic,6,194.532
4,3,OR,1,4,phasic,4,7.91
4,3,OR,1,4,tonic,5,137.09
5,3,OD,0,3,phasic,2,2.494
5,3,OD,0,3,tonic,3,109.506
11,1,CON,4,3,phasic,12,21.77
11,1,CON,4,3,tonic,15,427.232
3,5,CON,3,2,phasic,6,9.322
3,5,CON,3,2,tonic,8,191.678
5,5,OD,1,5.2,phasic,5,7.674
5,5,OD,1,5.2,tonic,8,156.326
4,9,HC,0,4,phasic,11,19.14
4,9,HC,0,4,tonic,13,333.862
3,2,CON,4,4,phasic,6,12.308
3,2,CON,4,4,tonic,9,249.694
1,4,HC,2,5.2,phasic,3,5.608
1,4,HC,2,5.2,tonic,5,83.392
13,11,OR-N,4,5.4,phasic,1,2.282
13,11,OR-N,4,5.4,tonic,2,73.718
4,2,HC,4,5.1,phasic,9,17.354
4,2,HC,4,5.1,tonic,14,340.646
7,2,OR,3,5.3,phasic,5,7.282
7,2,OR,3,5.3,tonic,7,122.718
9,2,CON,4,5.2,phasic,5,10.016
9,2,CON,4,5.2,tonic,9,234.984
1,4,HC,2,4,phasic,9,16.838
1,4,HC,2,4,tonic,15,384.164
9,3,OR,2,4,phasic,6,15.012
9,3,OR,2,4,tonic,9,360.988
4,3,OR,4,3,phasic,2,4.084
4,3,OR,4,3,tonic,4,123.916
6,1,HC,4,4,phasic,8,14.11
6,1,HC,4,4,tonic,12,319.89
7,5,OD,3,4,phasic,5,7.476
7,5,OD,3,4,tonic,7,157.524
3,17,HC,0,5.2,phasic,1,1.018
3,17,HC,0,5.2,tonic,2,86.982
9,4,OD,4,5.2,phasic,10,18.086
9,4,OD,4,5.2,tonic,14,370.914
4,6,OD,4,5.2,phasic,6,14.478
4,6,OD,4,5.2,tonic,10,317.524
1,4,HC,2,5.1,phasic,5,8.23
1,4,HC,2,5.1,tonic,9,169.77
1,2,OD,2,5.1,phasic,5,7.846
1,2,OD,2,5.1,tonic,9,190.154
7,3,CON,3,5.1,phasic,4,7.78
7,3,CON,3,5.1,tonic,8,258.22
7,1,HC,3,2,phasic,6,12.126
7,1,HC,3,2,tonic,9,207.874
3,6,HC,4,5.2,phasic,6,9.226
3,6,HC,4,5.2,tonic,8,211.774
9,3,HC,4,2,phasic,15,30.674
9,3,HC,4,2,tonic,25,556.326
6,2,OD,4,1,phasic,2,2.106
6,2,OD,4,1,tonic,3,122.894
4,6,OD,0,3,phasic,6,11.604
4,6,OD,0,3,tonic,9,231.396
8,4,CON,3,5.3,phasic,6,12.522
8,4,CON,3,5.3,tonic,9,270.478
6,1,HC,2,5.4,phasic,0,0.0
6,1,HC,2,5.4,tonic,1,27.0
6,1,HC,4,3,phasic,4,11.826
6,1,HC,4,3,tonic,6,192.174
5,17,HC,1,5.2,phasic,4,7.42
5,17,HC,1,5.2,tonic,6,250.58
4,7,HC,1,5.1,phasic,5,9.126
4,7,HC,1,5.1,tonic,6,146.874
3,1,OR,1,5.3,phasic,3,3.546
3,1,OR,1,5.3,tonic,4,96.454
4,2,HC,4,5.2,phasic,11,22.316
4,2,HC,4,5.2,tonic,18,785.684
1,4,CON,4,1,phasic,3,4.31
1,4,CON,4,1,tonic,4,80.69
3,4,OD,4,5.3,phasic,0,0.0
3,4,OD,4,5.3,tonic,1,19.0
5,8,HC,0,2,phasic,10,18.504
5,8,HC,0,2,tonic,14,379.496
3,4,OD,4,5.1,phasic,8,15.05
3,4,OD,4,5.1,tonic,10,267.952
3,5,OR-N,4,4,phasic,2,1.87
3,5,OR-N,4,4,tonic,4,146.13
6,4,OD,2,5.3,phasic,0,0.0
6,4,OD,2,5.3,tonic,1,26.0
2,4,HC,2,5.1,phasic,2,2.696
2,4,HC,2,5.1,tonic,5,73.304
4,5,OD,3,3,phasic,12,19.656
4,5,OD,3,3,tonic,21,507.346
6,3,HC,4,5.2,phasic,14,22.076
6,3,HC,4,5.2,tonic,19,534.924
4,3,OR,1,5.1,phasic,3,6.756
4,3,OR,1,5.1,tonic,5,167.244
6,3,CON,2,5.4,phasic,5,7.53
6,3,CON,2,5.4,tonic,7,214.47
5,6,HC,1,5.4,phasic,0,0.0
5,6,HC,1,5.4,tonic,1,27.0
6,4,CON,4,5.4,phasic,1,1.788
6,4,CON,4,5.4,tonic,3,147.212
4,9,HC,0,3,phasic,3,5.216
4,9,HC,0,3,tonic,4,117.784
5,6,HC,1,5.2,phasic,4,6.414
5,6,HC,1,5.2,tonic,5,102.586
11,2,OD,4,2,phasic,7,15.0
11,2,OD,4,2,tonic,10,317.002
2,4,HC,2,5.2,phasic,8,13.836
2,4,HC,2,5.2,tonic,18,400.164
5,5,OD,1,2,phasic,3,4.762
5,5,OD,1,2,tonic,5,89.238
6,6,HC,4,1,phasic,12,27.648
6,6,HC,4,1,tonic,20,539.352
3,17,HC,0,5.1,phasic,4,5.496
3,17,HC,0,5.1,tonic,8,242.504
9,3,HC,4,5.1,phasic,8,16.152
9,3,HC,4,5.1,tonic,15,355.848
9,4,OD,4,4,phasic,10,20.13
